"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4446,4,0,27,1,1,1,4,3,198,4.63,0,0.06,0,0,1,0,0,1,0,0,0,5.89440283426485
4435,2,0,2,1,1,1.5,5,30,154,4.86,0,0.36,1,0,0,0,0,1,0,0,0,5.07517381523383
4446,4,0,27,1,1,1,4,3,198,4,0,0.01,0,0,1,0,0,1,0,0,0,5.89440283426485
4428,4,0,1,1,0,1,5,30,66,4.91,0,0.96,1,0,0,0,0,1,0,0,0,5.01063529409626
4427,2,0,1,1,1,1,3,30,307,4.43,0,1.85,1,0,0,0,0,1,0,0,0,4.34380542185368
4426,0,0,1,1,1,1,3,30,0,4.67,0,0.04,1,0,0,0,0,1,0,0,0,5.01063529409626
4446,4,0,27,1,1,1,2,3,197,4.86,0,0.16,0,1,0,0,0,1,0,0,0,5.34710753071747
4637,4,1,3,1,1,1,4,30,354,4.45,0,1.81,1,0,0,0,0,1,0,0,0,4.49980967033027
5045,4,1,2,1,1,1,5,2,250,4.71,1,0.96,1,0,0,0,0,1,0,0,0,4.90527477843843
4404,4,1,2,1,1,1,4,1,65,4.83,1,1.97,1,0,0,0,0,1,0,0,0,4.61512051684126
4417,4,1,1,1,1,1.5,2,6,294,4.86,1,0.96,1,0,0,0,0,1,0,0,0,4.9416424226093
4402,2,0,1,1,1,1,2,7,21,5,0,0.12,1,0,0,0,0,1,0,0,0,4.9416424226093
4402,2,0,1,1,1,1,6,6,164,4.67,0,0.06,1,0,0,0,0,1,0,0,0,5.52146091786225
4397,0,0,1,1,1,1,2,30,185,4.81,0,0.14,1,0,0,0,0,0,1,0,0,5.01063529409626
4397,3,1,1,1,1,1,2,30,236,5,0,0.19,1,0,0,0,0,1,0,0,0,4.81218435537242
4395,3,1,1,1,1,1,3,30,6,4.94,0,0.83,1,0,0,0,0,1,0,0,0,4.86753445045558
